vehicle_class,count
MOTOR CYCLE,94676
MOTOR CAR,33835
GOODS CARRIAGE,4326
TRACTOR FOR AGRICULTURAL PURPOSE,4085
AUTO RICKSHAW,3723
MOTOR CAB,3228
TRACTOR FOR COMMERCIAL USE,2836
TRAILER FOR COMMERCIAL USE,2258
THREE WHEELED GOODS VEHICLE,1193
TRAILER FOR AGRICULTURE PURPOSE,1063
CHASSIS TRANSPORT,662
MOTOR CYCLE FOR HIRE,252
VEHICLE FITTED WITH CONSTRUCTION EQUIPMENT,223
OMINIBUS,174
MAXI CAB,115
TRACTOR DRIVEN COMBINED HARVESTER,46
LOADER,41
OMNIBUS FOR PRIVATE USE,39
CRANE FOR PRIVATE USE,18
AMBULANCE,18
SELF LOADING CONCRETE MIXER,16
SELF PROPELLED HARVESTER,14
ROAD ROLLER,13
FORK LIFT,6
ECART,2
QUADRACYCLE TRANSPORT,1
MOTOR GRADER,1
ARTICULATED VEHICLES,1
